"filename", "language", "Markdown", "JSON with Comments", "TypeScript", "PostCSS", "JavaScript", "JSON", "XML", "TypeScript JSX", "YAML", "MS SQL", "comment", "blank", "total"
"c:\Users\ashis\edwise\frontend\hooks\use-toast.ts", "TypeScript", 0, 0, 160, 0, 0, 0, 0, 0, 0, 0, 3, 32, 195
"c:\Users\ashis\edwise\frontend\lib\utils.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\ashis\edwise\frontend\middleware.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 2, 2, 25
"c:\Users\ashis\edwise\frontend\next-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 6
"c:\Users\ashis\edwise\frontend\next.config.mjs", "JavaScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 1, 1, 14
"c:\Users\ashis\edwise\frontend\package-lock.json", "JSON", 0, 0, 0, 0, 0, 6808, 0, 0, 0, 0, 0, 1, 6809
"c:\Users\ashis\edwise\frontend\package.json", "JSON", 0, 0, 0, 0, 0, 73, 0, 0, 0, 0, 0, 1, 74
"c:\Users\ashis\edwise\frontend\pnpm-lock.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 3588, 0, 0, 706, 4294
"c:\Users\ashis\edwise\frontend\postcss.config.mjs", "JavaScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 2, 9
"c:\Users\ashis\edwise\frontend\public\placeholder-logo.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\ashis\edwise\frontend\public\placeholder.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\ashis\edwise\frontend\styles\globals.css", "PostCSS", 0, 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 5, 95
"c:\Users\ashis\edwise\frontend\tailwind.config.ts", "TypeScript", 0, 0, 95, 0, 0, 0, 0, 0, 0, 0, 0, 2, 97
"c:\Users\ashis\edwise\frontend\tsconfig.json", "JSON with Comments", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 28
"Total", "-", 37, 69, 1217, 193, 43, 13639, 2, 8356, 3588, 64, 314, 1778, 29300
